rank,numero_cnj,pid,score,ano_cnj,classe_nome,composite,link
406,1001625-65.2025.4.01.3507,1385770,0.8507,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9557,https://voyager.was.dev.br/dashboard/processos/1385770/
407,1011228-32.2025.4.01.4100,1388959,0.8503,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9553,https://voyager.was.dev.br/dashboard/processos/1388959/
408,1019422-64.2023.4.01.3300,1384225,0.8803,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9553,https://voyager.was.dev.br/dashboard/processos/1384225/
409,1072160-90.2023.4.01.3700,1293947,0.8803,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9553,https://voyager.was.dev.br/dashboard/processos/1293947/
410,1084947-47.2024.4.01.3400,1199172,0.8650,2024,Cumprimento de Sentença de Ações Coletivas,0.9550,https://voyager.was.dev.br/dashboard/processos/1199172/
411,1004605-75.2026.4.01.3304,2414975,0.8348,2026,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9548,https://voyager.was.dev.br/dashboard/processos/2414975/
412,1004771-10.2026.4.01.3304,2417985,0.8348,2026,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9548,https://voyager.was.dev.br/dashboard/processos/2417985/
413,1007983-15.2021.4.01.3304,2414768,0.9093,2021,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9543,https://voyager.was.dev.br/dashboard/processos/2414768/
414,1003882-78.2025.4.01.3502,2418605,0.8490,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9540,https://voyager.was.dev.br/dashboard/processos/2418605/
415,1005943-64.2025.4.01.3904,1246574,0.8486,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9536,https://voyager.was.dev.br/dashboard/processos/1246574/
416,1005124-60.2025.4.01.3506,1361442,0.8486,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9536,https://voyager.was.dev.br/dashboard/processos/1361442/
417,1037269-96.2025.4.01.3304,2414950,0.8486,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9536,https://voyager.was.dev.br/dashboard/processos/2414950/
418,1039098-15.2025.4.01.3304,1373657,0.8486,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9536,https://voyager.was.dev.br/dashboard/processos/1373657/
419,1070941-89.2025.4.01.3500,1341596,0.8486,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9536,https://voyager.was.dev.br/dashboard/processos/1341596/
420,1011879-27.2025.4.01.3304,2416072,0.8486,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9536,https://voyager.was.dev.br/dashboard/processos/2416072/
421,1007589-76.2024.4.01.3700,1516920,0.8634,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9534,https://voyager.was.dev.br/dashboard/processos/1516920/
422,1010194-83.2024.4.01.3703,1374848,0.8634,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9534,https://voyager.was.dev.br/dashboard/processos/1374848/
423,1008638-79.2024.4.01.3304,2414891,0.8634,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9534,https://voyager.was.dev.br/dashboard/processos/2414891/
